,0
2022-09-23,0.064
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,1.7351999999999999
2022-09-29,0.0796
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,0.31920000000000004
2022-10-21,8.548
2022-10-22,1.0524
2022-10-23,9.986800000000002
2022-10-24,25.733200000000007
2022-10-25,19.646800000000002
2022-10-26,8.3508
2022-10-27,27.917999999999996
2022-10-28,9.8428
2022-10-29,4.394
2022-10-30,47.53960000000001
2022-10-31,19.348000000000003
2022-11-01,2.28
2022-11-02,2.5696000000000003
2022-11-03,36.21920000000001
2022-11-04,76.15720000000002
2022-11-05,12.990400000000001
2022-11-06,15.019599999999999
2022-11-07,6.715199999999999
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.1356
2022-11-12,0.0
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-19,0.0
2022-11-20,2.0212
2022-11-21,6.475600000000001
2022-11-22,33.602799999999995
2022-11-23,1.7124000000000001
2022-11-24,3.5315999999999996
2022-11-25,12.840400000000002
2022-11-26,15.403999999999998
2022-11-27,10.808799999999998
2022-11-28,0.0
2022-11-29,23.196399999999997
2022-11-30,12.803999999999998
2022-12-01,0.0
2022-12-02,4.7732
2022-12-03,1.6183999999999998
2022-12-04,0.0
2022-12-05,0.10880000000000001
2022-12-06,2.4120000000000004
2022-12-07,6.1304
2022-12-08,13.174800000000003
2022-12-09,17.636800000000004
2022-12-10,16.818
2022-12-11,0.9688000000000001
2022-12-12,0.0
2022-12-13,0.0316
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,4.5864
2022-12-18,7.638399999999998
2022-12-19,10.0952
2022-12-20,14.337200000000001
2022-12-21,0.0
2022-12-22,9.891599999999999
2022-12-23,36.1272
2022-12-24,54.278
2022-12-25,29.886800000000004
2022-12-26,39.3436
2022-12-27,34.81400000000001
2022-12-28,6.005199999999999
2022-12-29,9.516
2022-12-30,18.298
2022-12-31,15.897999999999994
2023-01-01,0.0
2023-01-02,0.064
2023-01-03,1.4199999999999997
2023-01-04,1.6416
2023-01-05,6.3448
2023-01-06,5.950399999999999
2023-01-07,6.030799999999999
2023-01-08,10.506799999999998
2023-01-09,11.854800000000001
2023-01-10,3.4048
2023-01-11,12.930800000000001
2023-01-12,38.34960000000001
2023-01-13,19.8348
2023-01-14,4.707199999999999
2023-01-15,8.004000000000001
2023-01-16,1.6768
2023-01-17,4.1331999999999995
2023-01-18,13.6172
2023-01-19,0.9756
2023-01-20,0.0
2023-01-21,4.640400000000001
2023-01-22,0.5412
2023-01-23,2.9668000000000005
2023-01-24,3.5523999999999996
2023-01-25,0.5347999999999999
2023-01-26,11.118399999999998
2023-01-27,3.01
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.1392
2023-01-31,1.4340000000000002
2023-02-01,0.17559999999999998
2023-02-02,0.0
2023-02-03,11.8924
2023-02-04,7.0952
2023-02-05,8.588399999999998
2023-02-06,13.682399999999998
2023-02-07,31.533599999999996
2023-02-08,6.424000000000002
2023-02-09,7.550799999999999
2023-02-10,3.372
2023-02-11,0.0
2023-02-12,13.568800000000001
2023-02-13,10.645199999999999
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,6.4028
2023-02-17,5.6064
2023-02-18,7.514400000000002
2023-02-19,27.7132
2023-02-20,30.9352
2023-02-21,9.2548
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,8.7924
2023-02-26,14.733599999999997
2023-02-27,7.7104
2023-02-28,6.719600000000002
2023-03-01,6.365199999999999
2023-03-02,14.2084
2023-03-03,11.4192
2023-03-04,3.8124000000000007
2023-03-05,1.2368000000000001
2023-03-06,0.0
2023-03-07,0.3908
2023-03-08,1.4788
2023-03-09,2.5676000000000005
2023-03-10,8.2832
2023-03-11,3.7283999999999997
2023-03-12,22.628400000000003
2023-03-13,23.449199999999998
2023-03-14,8.027999999999999
2023-03-15,3.3344
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.098
2023-03-20,4.3752
2023-03-21,0.0
2023-03-22,2.6712000000000007
2023-03-23,10.2644
2023-03-24,13.119999999999997
2023-03-25,4.193600000000001
2023-03-26,0.0964
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,1.8092
2023-03-31,15.922399999999998
